date,type,amount,from_account,to_account,cost_basis_usd,proceeds_usd,fee_amount,fee_currency,source,purpose,notes
2024-01-01T10:00:00Z,Deposit,20000.00,External,Bank,,,,,,,Initial USD deposit to bank
2024-01-02T10:00:00Z,Transfer,20000.00,Bank,Exchange USD,,,,,,,Move USD to exchange for trading
2024-01-03T10:00:00Z,Buy,0.5,Exchange USD,Exchange BTC,10000.00,,50.00,USD,,,Buy 0.5 BTC at $20k/BTC with $50 fee
2024-01-04T10:00:00Z,Buy,0.1,Bank,Exchange BTC,2000.00,,10.00,USD,,,Auto-buy: Purchase BTC directly from bank
2024-01-10T10:00:00Z,Deposit,1.0,External,Wallet,20000.00,,,,MyBTC,,Transfer from my own cold storage
2024-01-15T10:00:00Z,Deposit,0.1,External,Wallet,0,,,,Gift,,BTC received as birthday gift (no cost basis)
2024-01-20T10:00:00Z,Deposit,0.05,External,Wallet,2500.00,,,,Income,,Payment received for freelance work
2024-01-25T10:00:00Z,Deposit,0.02,External,Wallet,1000.00,,,,Interest,,Interest earned from lending
2024-01-30T10:00:00Z,Deposit,0.01,External,Wallet,500.00,,,,Reward,,Mining or staking reward
2024-01-31T10:00:00Z,Deposit,0.02,External,Wallet,1000.00,,,,,,BTC deposit with no specific source
2024-02-01T10:00:00Z,Transfer,0.5,Wallet,Exchange BTC,,,0.0001,BTC,,,Move BTC to exchange for trading
2024-02-10T10:00:00Z,Sell,0.3,Exchange BTC,Exchange USD,,18000.00,10.00,USD,,,"Sell 0.3 BTC for $18,000 with $10 fee"
2024-02-15T10:00:00Z,Transfer,15000.00,Exchange USD,Bank,,,,,,,Move profits back to bank
2024-02-20T10:00:00Z,Transfer,0.2,Exchange BTC,Wallet,,,0.0001,BTC,,,Move BTC to wallet for cold storage
2024-03-01T10:00:00Z,Withdrawal,5000.00,Bank,External,,,,,,,USD withdrawal for expenses
2024-03-10T10:00:00Z,Withdrawal,0.15,Wallet,External,,9000.00,0.0001,BTC,,Spent,Spent BTC on purchase (taxable event)
2024-03-15T10:00:00Z,Withdrawal,0.1,Wallet,External,,,0.0001,BTC,,Gift,Gifted BTC to family (non-taxable for giver)
2024-03-20T10:00:00Z,Withdrawal,0.05,Wallet,External,,,0.0001,BTC,,Donation,Donated BTC to charity (non-taxable)
2024-03-25T10:00:00Z,Withdrawal,0.03,Wallet,External,,,,,,Lost,Lost access to BTC (capital loss)
